Rank,Name,Year,Rating (%),Adjusted Score (%),Critics Consensus,Synopsis,Cast,Director
84,Superbad,2007,88,96316,"Deftly balancing vulgarity and sincerity while placing its protagonists in excessive situations,Superbadis an authentic take on friendship and the overarching awkwardness of the high school experience.",High school seniors Seth and Evan have high hopes for a graduation party. The co-dependent teens plan to score booze...[More],"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader",Greg Mottola
85,Fear Street Part Two: 1978,2021,88,92861,"A smart and subversive twist on slasher horror,Fear Street Part II: 1978shows that summer camp has never been scarier thanks to stellar performances from Sadie Sink, Emily Rudd, and Ryan Simpkins.","Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider...[More]","Sadie Sink, Emily Rudd, Ryan Simpkins, Chiara Aurelia",Leigh Janiak
86,Field of Dreams,1989,88,93747,"Field of Dreams is sentimental, but in the best way; it's a mix of fairy tale, baseball, and family togetherness.","When Iowa farmer Ray hears a mysterious voice one night in his cornfield saying ""If you build it, he will...[More]","Kevin Costner, Amy Madigan, James Earl Jones, Gaby Hoffmann",Phil Alden Robinson
87,Kung Fu Panda,2008,87,94624,"Kung Fu Pandahas a familiar message, but the pleasing mix of humor, swift martial arts action, and colorful animation makes for winning Summer entertainment.",Po the panda (Jack Black) works in his family's noodle shop and dreams of becoming a kung-fu master. His dream...[More],"Jack Black, Angelina Jolie, Jackie Chan, David Cross","John Stevenson, Mark Osborne"
88,Kung Fu Panda 3,2016,87,95191,"Kung Fu Panda 3boasts the requisite visual splendor, but like its rotund protagonist, this sequel's narrative is also surprisingly nimble, adding up to animated fun for the whole family.","Living large and loving life, Po (Jack Black) realizes that he has a lot to learn if he's going to...[More]","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","Jennifer Yuh Nelson, Alessandro Carloni"
89,Captain Underpants: The First Epic Movie,2017,87,94015,"With a tidy plot, clean animation, and humor that fits its source material snugly,Captain Underpants: The First Epic Movieis entertainment that won't drive a wedge between family members.",George Beard and Harold Hutchins are two overly imaginative pranksters who spend hours in a treehouse creating comic books. When...[More],"Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch",David Soren
90,Lady Chatterley's Lover,2022,87,91293,"Arguably the best screen version of this oft-adapted tale,Lady Chatterley's Loversets itself apart with solid acting and a refreshingly frank treatment of the story's mature themes.","Marrying Sir Clifford Chatterley, Connie's life of wealth and privilege seems set as she takes the title of Lady Chatterley....[More]","Emma Corrin, Jack O'Connell, Matthew Duckett, Joely Richardson",Laure de Clermont-Tonnerre
91,My Father's Dragon,2022,87,90116,"My Father's Dragonwill soar particularly high with very young viewers, but this animated adventure has something to offer audiences of all ages.","Struggling to cope after a move to the city with his mother, Elmer runs away in search of Wild Island...[More]","Gaten Matarazzo, Leighton Meester, Jackie Earle Haley, Golshifteh Farahani",Nora Twomey
92,Fair Play,2023,86,98955,"With assured style that's at times reminiscent of the best '90s nail-biting thrillers,Fair Playjuxtaposes premarital disharmony with greed and gender politics in the cutthroat finance world.","When a coveted promotion at a cutthroat financial firm arises, once supportive exchanges between lovers Emily (Phoebe Dynevor) and Luke...[More]","Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Chloe Domont
93,Vivo,2021,86,90753,"Vivooffers few surprises, but this attractively animated adventure is enlivened by the catchy songs contributed by star Lin-Manuel Miranda.",From Netflix and Sony Pictures AnimaFrom Netflix and Sony Pictures Animation -- the studio that brought you Oscar winner Spider-Man:...[More],"Lin-Manuel Miranda, Zoe Saldana, Juan de Marcos González, Brian Tyree Henry",Kirk DeMicco
94,The Wonder,2022,85,94175,"The atmosphere's absorbing and the story is fascinating, butThe Wonderof this period drama really lies in Florence Pugh's remarkable performance.","The Irish Midlands, 1862 -- a young girl stops eating but remains miraculously alive and well. English nurse Lib Wright...[More]","Florence Pugh, Tom Burke, Niamh Algar, Elaine Cassidy",Sebastián Lelio
95,Shortcomings,2023,85,91820,"Randall Park's directorial debut has humor and heart, giving star Justin H. Min a swoonworthy starring vehicle with fewShortcomings.","Ben, a struggling filmmaker, lives in Berkeley, California, with his girlfriend, Miko, who works for a local Asian American film...[More]","Justin H. Min, Sherry Cola, Ally Maki, Debby Ryan",Randall Park
96,Munich: The Edge of War,2021,85,88613,"Sharp direction and some outstanding performances makeMunich: The Edge of Wara gripping historical drama, even though the ending's no secret.",Based on the international bestseller by Robert Harris. It is Autumn 1938 and Europe stands on the brink of war....[More],"Jessica Brown Findlay, George MacKay, Jeremy Irons, Liv Lisa Fries",Christian Schwochow
97,The Deepest Breath,2023,85,87910,"A compelling documentary that can feel like a thriller,The Deepest Breathcouples real-life tragedy with stunning footage of the ocean's depths.","A champion freediver trains to break a world record with the help of an expert safety diver, and the two...[More]",Alessia Zecchini,Laura McGann
98,Top Five,2014,85,93429,"As smart, funny, and trenchant as writer-director-star Chris Rock's best standup work,Top Fiveis a career highlight for its creator -- and one of the comedy standouts of 2014.","Though he began in stand-up comedy, Andre Allen (Chris Rock) hit the big-time as the star of a trilogy of...[More]","Chris Rock, Rosario Dawson, Kevin Hart, Gabrielle Union",Chris Rock
99,Waves,2019,84,97330,"An up-close look at one family's emotional ups and downs,Wavescaptures complicated dynamics with tenderness and grace.","The epic emotional journey of a suburban African American family as they navigate love, forgiveness and coming together in the...[More]","Kelvin Harrison Jr., Taylor Russell, Sterling K. Brown, Lucas Hedges",Trey Edward Shults
100,Liar Liar,1997,83,86855,"Despite its thin plot,Liar Liaris elevated by Jim Carrey's exuberant brand of physical humor, and the result is a laugh riot that helped to broaden the comedian's appeal.","Conniving attorney Fletcher Reede is an ace in the courtroom, but his dishonesty and devotion to work ruin his relationships....[More]","Jim Carrey, Maura Tierney, Jennifer Tilly, Swoosie Kurtz",Tom Shadyac
